17
3	6	12	1	10	7	9	15	4	13	3	16	11	12	17	3	1
17	5	11	1	13	4	15	3	2	13	9	11	9	6	16	8	2
1	9	8	10	15	5	13	11	16	1	3	2	6	3	7	14	5
9	15	3	16	1	2	11	16	6	13	4	1	5	14	12	16	13
6	14	11	15	9	3	5	2	2	3	1	4	13	8	10	14	6
13	16	3	3	8	14	11	9	15	13	10	15	1	7	4	2	6
16	1	10	3	5	6	8	3	17	2	12	9	7	15	4	3	4
11	13	5	17	2	1	12	4	5	9	2	7	8	12	10	10	16
2	7	1	4	14	14	3	14	8	9	13	5	2	10	5	13	7
16	11	3	9	2	10	4	5	7	14	17	15	13	14	3	1	8
7	8	4	13	11	15	2	12	12	10	16	3	17	15	1	6	5
2	4	6	11	4	3	16	17	1	1	13	3	6	5	8	9	10
4	3	10	13	16	8	7	10	9	14	5	13	9	1	13	11	15
5	2	15	7	16	4	10	8	14	17	16	1	8	14	9	13	3
16	17	4	5	2	13	14	12	16	16	15	8	7	11	6	10	9
10	14	16	11	17	3	15	13	11	11	8	9	3	13	15	7	6
8	12	13	7	4	16	17	1	9	5	14	6	14	12	2	15	12
